llm,package,run,run_number,total_surviving,predicted_equivalent,predicted_behavioral,equiv_rate_pct,ci_low_pct,ci_high_pct,confidence_interval
anthropic_claude-sonnet-4.5,Complex.js,run1,1,361,45,316,12.4654,9.1413,16.0665,"(9.1%, 16.1%)"
anthropic_claude-sonnet-4.5,countries-and-timezones,run1,1,40,15,25,37.5,22.5,52.5,"(22.5%, 52.5%)"
anthropic_claude-sonnet-4.5,node-jsonfile,run1,1,42,14,28,33.3333,19.0476,47.619,"(19.0%, 47.6%)"
anthropic_claude-sonnet-4.5,pull-stream,run1,1,240,3,237,1.25,0.0,2.9167,"(0.0%, 2.9%)"
anthropic_claude-sonnet-4.5,spacl-core,run1,1,17,7,10,41.1765,17.6471,64.7059,"(17.6%, 64.7%)"
anthropic_claude-sonnet-4.5,zip-a-folder,run1,1,4,0,4,0.0,0.0,0.0,"(0.0%, 0.0%)"
deepseek_deepseek-chat-v3.1,Complex.js,run1,1,511,65,446,12.7202,9.9804,15.6556,"(10.0%, 15.7%)"
deepseek_deepseek-chat-v3.1,countries-and-timezones,run1,1,47,23,24,48.9362,34.0426,63.8298,"(34.0%, 63.8%)"
deepseek_deepseek-chat-v3.1,node-jsonfile,run1,1,33,9,24,27.2727,12.1212,42.4242,"(12.1%, 42.4%)"
deepseek_deepseek-chat-v3.1,pull-stream,run1,1,299,3,296,1.0033,0.0,2.3411,"(0.0%, 2.3%)"
deepseek_deepseek-chat-v3.1,spacl-core,run1,1,35,19,16,54.2857,37.1429,71.4286,"(37.1%, 71.4%)"
deepseek_deepseek-chat-v3.1,zip-a-folder,run1,1,8,0,8,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash,Complex.js,run1,1,448,58,390,12.9464,9.8214,16.2946,"(9.8%, 16.3%)"
google_gemini-2.5-flash,countries-and-timezones,run1,1,25,10,15,40.0,20.0,60.0,"(20.0%, 60.0%)"
google_gemini-2.5-flash,node-jsonfile,run1,1,34,4,30,11.7647,2.9412,23.5294,"(2.9%, 23.5%)"
google_gemini-2.5-flash,pull-stream,run1,1,268,3,265,1.1194,0.0,2.6119,"(0.0%, 2.6%)"
google_gemini-2.5-flash,spacl-core,run1,1,20,10,10,50.0,30.0,70.0,"(30.0%, 70.0%)"
google_gemini-2.5-flash,zip-a-folder,run1,1,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash-thinking,Complex.js,run1,1,167,25,142,14.9701,9.5808,20.3593,"(9.6%, 20.4%)"
google_gemini-2.5-flash-thinking,countries-and-timezones,run1,1,8,3,5,37.5,12.5,75.0,"(12.5%, 75.0%)"
google_gemini-2.5-flash-thinking,node-jsonfile,run1,1,12,4,8,33.3333,8.3333,58.3333,"(8.3%, 58.3%)"
google_gemini-2.5-flash-thinking,pull-stream,run1,1,89,0,89,0.0,0.0,0.0,"(0.0%, 0.0%)"
google_gemini-2.5-flash-thinking,spacl-core,run1,1,6,3,3,50.0,16.6667,83.3333,"(16.7%, 83.3%)"
google_gemini-2.5-flash-thinking,zip-a-folder,run1,1,1,0,1,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-3.3-70b-instruct,Complex.js,run1,1,454,40,414,8.8106,6.3877,11.4537,"(6.4%, 11.5%)"
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,run1,1,36,18,18,50.0,33.3333,66.6667,"(33.3%, 66.7%)"
meta-llama_llama-3.3-70b-instruct,node-jsonfile,run1,1,50,13,37,26.0,14.0,38.0,"(14.0%, 38.0%)"
meta-llama_llama-3.3-70b-instruct,pull-stream,run1,1,267,9,258,3.3708,1.4981,5.618,"(1.5%, 5.6%)"
meta-llama_llama-3.3-70b-instruct,spacl-core,run1,1,32,14,18,43.75,28.125,62.5,"(28.1%, 62.5%)"
meta-llama_llama-3.3-70b-instruct,zip-a-folder,run1,1,5,0,5,0.0,0.0,0.0,"(0.0%, 0.0%)"
meta-llama_llama-4-maverick,Complex.js,run1,1,311,22,289,7.074,4.5016,9.9678,"(4.5%, 10.0%)"
meta-llama_llama-4-maverick,countries-and-timezones,run1,1,22,12,10,54.5455,31.8182,72.7273,"(31.8%, 72.7%)"
meta-llama_llama-4-maverick,node-jsonfile,run1,1,17,5,12,29.4118,11.7647,52.9412,"(11.8%, 52.9%)"
meta-llama_llama-4-maverick,pull-stream,run1,1,144,3,141,2.0833,0.0,4.8611,"(0.0%, 4.9%)"
meta-llama_llama-4-maverick,spacl-core,run1,1,17,6,11,35.2941,11.7647,58.8235,"(11.8%, 58.8%)"
meta-llama_llama-4-maverick,zip-a-folder,run1,1,2,0,2,0.0,0.0,0.0,"(0.0%, 0.0%)"
openai_gpt-4o-mini,Complex.js,run1,1,408,26,382,6.3725,4.1667,8.8235,"(4.2%, 8.8%)"
openai_gpt-4o-mini,countries-and-timezones,run1,1,42,27,15,64.2857,50.0,78.5714,"(50.0%, 78.6%)"
openai_gpt-4o-mini,node-jsonfile,run1,1,28,5,23,17.8571,3.5714,32.1429,"(3.6%, 32.1%)"
openai_gpt-4o-mini,pull-stream,run1,1,242,3,239,1.2397,0.0,2.8926,"(0.0%, 2.9%)"
openai_gpt-4o-mini,spacl-core,run1,1,18,9,9,50.0,27.7778,72.2222,"(27.8%, 72.2%)"
openai_gpt-4o-mini,zip-a-folder,run1,1,4,0,4,0.0,0.0,0.0,"(0.0%, 0.0%)"
