model,package,run,runLabel,simulated,nrPrompts,nrCandidates,nrValid,nrInvalid,nrIdentical,nrDuplicate,validityRate,duplicateRate,invalidRate,mutationScore,nrKilled,nrSurvived,nrTimedOut,strykerTimeSec,totalPromptTokens,totalCompletionTokens,totalCostUsd,nMutants,medianAbsLevenshtein,q1AbsLevenshtein,q3AbsLevenshtein,medianNormLevenshtein,q1NormLevenshtein,q3NormLevenshtein
google_gemini-2.5-flash-thinking,Complex.js,1,run1,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,418,2,1,4,0.4,0.18636363636363637,0.8
google_gemini-2.5-flash-thinking,countries-and-timezones,1,run1,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,100,7,5,9,0.5590277777777778,0.3458333333333333,0.8722222222222222
google_gemini-2.5-flash-thinking,node-jsonfile,1,run1,,68,68,67,1,0,2,98.52941176470588,2.941176470588235,1.4705882352941175,82.09,23,12,32,225.99099999999999,50578,16732,0.057003399999999996,67,7,3.5,8,0.5714285714285714,0.32,1
google_gemini-2.5-flash-thinking,pull-stream,1,run1,,351,352,292,60,0,4,82.95454545454545,1.1363636363636365,17.045454545454543,69.52,176,89,27,473.634,185351,86332,0.27143530000000005,292,4,2.75,6,0.75,0.25,1
google_gemini-2.5-flash-thinking,spacl-core,1,run1,,134,131,99,31,1,3,75.57251908396947,2.2900763358778624,23.66412213740458,92.55,87,7,0,377.891,150586,32970,0.1276008,99,5,2,8,0.375,0.1471861471861472,0.75
google_gemini-2.5-flash-thinking,zip-a-folder,1,run1,,49,49,45,3,1,1,91.83673469387756,2.0408163265306123,6.122448979591836,97.78,10,1,34,470.297,73738,12057,0.0522639,45,6,4,13,0.4666666666666667,0.2,0.8636363636363636
google_gemini-2.5-flash-thinking,Complex.js,2,run2,,490,471,418,53,0,20,88.74734607218684,4.246284501061571,11.252653927813164,60.05,251,167,0,132.067,894841,120449,0.5695748,418,2,1,4,0.4,0.18636363636363637,0.8
google_gemini-2.5-flash-thinking,countries-and-timezones,2,run2,,106,104,100,4,0,2,96.15384615384616,1.9230769230769231,3.8461538461538463,92,92,8,0,109.27000000000001,93198,26080,0.09315939999999999,100,7,5,9,0.5590277777777778,0.3458333333333333,0.8722222222222222
google_gemini-2.5-flash-thinking,node-jsonfile,2,run2,,68,68,67,1,0,2,98.52941176470588,2.941176470588235,1.4705882352941175,82.09,23,12,32,225.99099999999999,50578,16732,0.057003399999999996,67,7,3.5,8,0.5714285714285714,0.32,1
google_gemini-2.5-flash-thinking,pull-stream,2,run2,,351,352,292,60,0,4,82.95454545454545,1.1363636363636365,17.045454545454543,69.52,176,89,27,473.634,185351,86332,0.27143530000000005,292,4,2.75,6,0.75,0.25,1
