model,package,nRuns,meanJaccardOverlap,cvMutationScore,stdMutationScore,cvSurvivors,stdSurvivors,cvAbsLevenshtein,mutationScoreRange,survivorRange
anthropic_claude-sonnet-4.5,Complex.js,5,1,0,0,0,0,0,0,0
anthropic_claude-sonnet-4.5,countries-and-timezones,5,1,0,0,0,0,0,0,0
anthropic_claude-sonnet-4.5,node-jsonfile,5,1,0,0,0,0,0,0,0
anthropic_claude-sonnet-4.5,pull-stream,5,1,0,0,0,0,0,0,0
anthropic_claude-sonnet-4.5,spacl-core,5,1,0,0,0,0,0,0,0
anthropic_claude-sonnet-4.5,zip-a-folder,5,1,0,0,0,0,0,0,0
deepseek_deepseek-chat-v3.1,Complex.js,5,1,0,0,0,0,0,0,0
deepseek_deepseek-chat-v3.1,countries-and-timezones,5,1,0,0,0,0,0,0,0
deepseek_deepseek-chat-v3.1,node-jsonfile,5,1,0,0,0,0,0,0,0
deepseek_deepseek-chat-v3.1,pull-stream,5,1,1.1114386606602537e-14,7.105427357601002e-15,0,0,0,0,0
deepseek_deepseek-chat-v3.1,spacl-core,5,1,0,0,0,0,0,0,0
deepseek_deepseek-chat-v3.1,zip-a-folder,5,1,0,0,0,0,0,0,0
google_gemini-2.5-flash-thinking,Complex.js,5,1,0,0,0,0,0,0,0
google_gemini-2.5-flash-thinking,countries-and-timezones,5,1,0,0,0,0,0,0,0
google_gemini-2.5-flash-thinking,node-jsonfile,5,1,0,0,0,0,0,0,0
google_gemini-2.5-flash-thinking,pull-stream,5,1,0,0,0,0,0,0,0
google_gemini-2.5-flash-thinking,spacl-core,5,1,0,0,0,0,0,0,0
google_gemini-2.5-flash-thinking,zip-a-folder,5,1,0,0,0,0,0,0,0
google_gemini-2.5-flash,Complex.js,5,1,1.1719326006269175e-14,7.105427357601002e-15,0,0,0,0,0
google_gemini-2.5-flash,countries-and-timezones,5,1,0,0,0,0,0,0,0
google_gemini-2.5-flash,node-jsonfile,5,1,0,0,0,0,0,0,0
google_gemini-2.5-flash,pull-stream,5,1,0,0,0,0,0,0,0
google_gemini-2.5-flash,spacl-core,5,1,0,0,0,0,0,0,0
google_gemini-2.5-flash,zip-a-folder,5,1,0,0,0,0,0,0,0
meta-llama_llama-3.3-70b-instruct,Complex.js,5,1,0,0,0,0,0,0,0
meta-llama_llama-3.3-70b-instruct,countries-and-timezones,5,1,0,0,0,0,0,0,0
meta-llama_llama-3.3-70b-instruct,node-jsonfile,5,1,0,0,0,0,0,0,0
meta-llama_llama-3.3-70b-instruct,pull-stream,5,1,0,0,0,0,0,0,0
meta-llama_llama-3.3-70b-instruct,spacl-core,5,1,0,0,0,0,0,0,0
meta-llama_llama-3.3-70b-instruct,zip-a-folder,5,1,0,0,0,0,0,0,0
meta-llama_llama-4-maverick,Complex.js,5,1,0,0,0,0,0,0,0
meta-llama_llama-4-maverick,countries-and-timezones,5,1,0,0,0,0,0,0,0
meta-llama_llama-4-maverick,node-jsonfile,5,1,0,0,0,0,0,0,0
meta-llama_llama-4-maverick,pull-stream,5,1,0,0,0,0,0,0,0
meta-llama_llama-4-maverick,spacl-core,5,1,0,0,0,0,0,0,0
meta-llama_llama-4-maverick,zip-a-folder,5,1,0,0,0,0,0,0,0
openai_gpt-4o-mini,Complex.js,5,1,0,0,0,0,0,0,0
openai_gpt-4o-mini,countries-and-timezones,5,1,0,0,0,0,0,0,0
openai_gpt-4o-mini,node-jsonfile,5,1,0,0,0,0,0,0,0
openai_gpt-4o-mini,pull-stream,5,1,0,0,0,0,0,0,0
openai_gpt-4o-mini,spacl-core,5,1,0,0,0,0,0,0,0
openai_gpt-4o-mini,zip-a-folder,5,1,0,0,0,0,0,0,0
