model,displayName,nPackages,nRuns,medianCandidates,medianValidityRatePct,medianMutationScore,medianSurvived,medianAbsLevenshtein,medianNormLevenshtein
anthropic_claude-haiku-4.5,Claude Haiku 4.5,6,1,301,60.706514254234946,73.64500000000001,39,6,0.5226495726495727
anthropic_claude-sonnet-4.5,Claude Sonnet 4.5,6,1,315.5,83.41940532081378,78.745,42,5,0.4484848484848485
deepseek_deepseek-chat-v3.1,DeepSeek Chat v3.1,6,1,337.5,83.24561403508773,81.435,42.5,5.5,0.5235411140583555
google_gemini-3.1-flash-lite,Gemini 3.1 Flash Lite,6,1,343,81.11009593421655,81.06,37,6,0.4871212121212121
google_gemini-3.5-flash,Gemini 3.5 Flash,6,1,338.5,82.46978243352136,76.52,47.5,6,0.5199353448275862
meta-llama_llama-3.1-8b-instruct,Llama 3.1 8B,6,1,353.5,72.97039967839535,76.78999999999999,44.5,8,0.6036414565826331
meta-llama_llama-3.3-70b-instruct,Llama 3.3 70B,6,1,349,80.9348935640483,79.32499999999999,43.5,7,0.6028950668896321
openai_gpt-4o,GPT-4o,6,1,347.5,80.53737090845439,80.575,37,7,0.5543478260869565
openai_gpt-4o-mini,GPT-4o-mini,6,1,347.5,72.80678505168302,83.465,30.5,6.75,0.5683379120879121
qwen_qwen-2.5-coder-32b-instruct,Qwen 2.5 Coder 32B,6,1,338.5,83.03457477665623,88.53999999999999,23.5,6.5,0.6304597701149426
